keyword_set,kw_id,kw_label_en,n_pairs,tp,tn,fp,fn,support_pos,support_neg,precision,recall,f1
k,76,happiness,27792,161,20372,7228,31,192.0,27600.0,0.02178914602787928,0.8385416666666666,0.042474607571560484
k,222,television,27792,48,20556,7188,0,48.0,27744.0,0.006633499170812604,1.0,0.013179571663920923
k,57,naked,27792,227,20330,7126,109,336.0,27456.0,0.030871753025975793,0.6755952380952381,0.059045389517492525
k,135,husband,27792,156,20479,7073,84,240.0,27552.0,0.021579748236270575,0.65,0.041772660329361354
k,43,writing-therapy,27792,243,20314,7046,189,432.0,27360.0,0.03333790643435314,0.5625,0.06294521435047275
k,238,menstruation,27792,115,20691,6957,29,144.0,27648.0,0.01626131221719457,0.7986111111111112,0.03187361419068736
k,127,socks,27792,95,20900,6748,49,144.0,27648.0,0.013882799941546106,0.6597222222222222,0.02719335909546301
k,213,their own birth,27792,136,20959,6641,56,192.0,27600.0,0.02006787664158182,0.7083333333333334,0.03902998995551729
k,52,mother,27792,1889,19011,6573,319,2208.0,25584.0,0.22323327818482627,0.8555253623188406,0.3540768509840675
k,212,health,27792,142,21035,6565,50,192.0,27600.0,0.021171909944833756,0.7395833333333334,0.041165386287867804
k,141,pregnancy,27792,199,21013,6539,41,240.0,27552.0,0.029533986346096764,0.8291666666666667,0.05703640011464603
k,139,divorce,27792,191,21149,6403,49,240.0,27552.0,0.028965726417955716,0.7958333333333333,0.055896985659935616
k,50,eating behaviour disorders,27792,366,20954,6358,114,480.0,27312.0,0.054431885782272454,0.7625,0.10161021654636314
k,151,money as emancipation,27792,234,21122,6334,102,336.0,27456.0,0.0356272838002436,0.6964285714285714,0.06778679026651216
k,137,jet-set,27792,179,20817,6303,493,672.0,27120.0,0.02761493366244986,0.2663690476190476,0.05004193458205199
k,231,feet,27792,88,21395,6301,8,96.0,27696.0,0.013773673501330411,0.9166666666666666,0.027139552814186587
k,162,insomnia,27792,93,21401,6295,3,96.0,27696.0,0.014558547276142768,0.96875,0.028685996298581123
k,53,home-prison,27792,75,21343,6257,117,192.0,27600.0,0.011844598862918509,0.390625,0.02299202942979767
k,195,birth of children,27792,80,21512,6184,16,96.0,27696.0,0.01277139208173691,0.8333333333333334,0.025157232704402514
k,221,grown-up children,27792,38,21574,6122,58,96.0,27696.0,0.006168831168831169,0.3958333333333333,0.012148337595907928
k,254,wedding,27792,126,21711,5937,18,144.0,27648.0,0.02078179119247897,0.875,0.04059932334461092
k,204,island,27792,116,21753,5895,28,144.0,27648.0,0.019297953751455665,0.8055555555555556,0.03769293257514216
k,138,evening dress,27792,43,21914,5830,5,48.0,27744.0,0.007321641409841648,0.8958333333333334,0.014524573551764904
k,152,marriage proposal,27792,149,21777,5823,43,192.0,27600.0,0.02494976557267247,0.7760416666666666,0.048345230369889684
k,39,dressing room,27792,210,21719,5785,78,288.0,27504.0,0.03502919099249374,0.7291666666666666,0.0668470475887315
k,241,suicide,27792,178,21832,5720,62,240.0,27552.0,0.030179721939640556,0.7416666666666667,0.05799934832192897
k,223,father,27792,550,21389,5683,170,720.0,27072.0,0.08824001283491095,0.7638888888888888,0.15820509132748453
k,100,games,27792,75,21997,5603,117,192.0,27600.0,0.013208876364917225,0.390625,0.025553662691652466
k,190,heels,27792,222,22058,5494,18,240.0,27552.0,0.03883834849545136,0.925,0.0745466756212223
k,69,religious education,27792,111,22186,5462,33,144.0,27648.0,0.019917459178180514,0.7708333333333334,0.038831555011369596
k,27,fascism,27792,1112,20634,5430,616,1728.0,26064.0,0.16997859981656985,0.6435185185185185,0.26892382103990325
k,233,radio,27792,85,22341,5355,11,96.0,27696.0,0.015625,0.8854166666666666,0.03070809248554913
k,207,death of dear friends,27792,110,22294,5354,34,144.0,27648.0,0.02013177159590044,0.7638888888888888,0.03922967189728959
